date,value
11/29/2002,9.01
11/30/2002,8.83
12/2/2002,8.67
12/3/2002,8.67
12/4/2002,8.81
12/5/2002,8.89
12/6/2002,9
12/9/2002,9.08
12/10/2002,9.05
12/11/2002,9.09
12/12/2002,9.06
12/13/2002,8.99
12/16/2002,8.88
12/17/2002,8.9
12/18/2002,8.94
12/19/2002,9.03
12/20/2002,8.99
12/23/2002,9
12/24/2002,9.01
12/25/2002,
12/26/2002,9.02
12/27/2002,9.11
12/30/2002,9.13
12/31/2002,8.9
1/1/2003,
1/2/2003,8.65
1/3/2003,8.57
1/6/2003,8.41
1/7/2003,8.26
1/8/2003,8.18
1/9/2003,7.95
1/10/2003,7.92
1/13/2003,7.92
1/14/2003,7.96
1/15/2003,7.96
1/16/2003,7.99
1/17/2003,8.1
1/20/2003,8.11
1/21/2003,8.12
1/22/2003,8.23
1/23/2003,8.16
1/24/2003,8.21
1/27/2003,8.29
1/28/2003,8.25
1/29/2003,8.24
1/30/2003,8.25
1/31/2003,8.29
2/3/2003,8.21
2/4/2003,8.28
2/5/2003,8.23
2/6/2003,8.35
2/7/2003,8.39
2/10/2003,8.35
2/11/2003,8.37
2/12/2003,8.5
2/13/2003,8.69
2/14/2003,8.62
2/17/2003,8.58
2/18/2003,8.56
2/19/2003,8.53
2/20/2003,8.51
2/21/2003,8.42
2/24/2003,8.41
2/25/2003,8.45
2/26/2003,8.44
2/27/2003,8.4
2/28/2003,8.38
3/3/2003,8.29
3/4/2003,8.31
3/5/2003,8.33
3/6/2003,8.31
3/7/2003,8.34
3/10/2003,8.38
3/11/2003,8.33
3/12/2003,8.32
3/13/2003,8.16
3/14/2003,8.17
3/17/2003,8.04
3/18/2003,7.91
3/19/2003,7.88
3/20/2003,7.84
3/21/2003,7.69
3/24/2003,7.81
3/25/2003,7.8
3/26/2003,7.78
3/27/2003,7.76
3/28/2003,7.75
3/31/2003,7.72
4/1/2003,7.61
4/2/2003,7.36
4/3/2003,7.31
4/4/2003,7.24
4/7/2003,7.11
4/8/2003,7.21
4/9/2003,7.31
4/10/2003,7.28
4/11/2003,7.21
4/14/2003,7.12
4/15/2003,7.07
4/16/2003,7.05
4/17/2003,6.97
4/18/2003,
4/21/2003,6.92
4/22/2003,6.86
4/23/2003,6.71
4/24/2003,6.69
4/25/2003,6.68
4/28/2003,6.64
4/29/2003,6.55
4/30/2003,6.44
5/1/2003,6.37
5/2/2003,6.26
5/5/2003,6.25
5/6/2003,6.34
5/7/2003,6.46
5/8/2003,6.55
5/9/2003,6.53
5/12/2003,6.53
5/13/2003,6.53
5/14/2003,6.62
5/15/2003,6.55
5/16/2003,6.63
5/19/2003,6.66
5/20/2003,6.77
5/21/2003,6.8
5/22/2003,6.86
5/23/2003,6.87
5/26/2003,6.87
5/27/2003,6.88
5/28/2003,6.89
5/29/2003,6.87
5/30/2003,6.81
5/31/2003,6.79
6/2/2003,6.66
6/3/2003,6.74
6/4/2003,6.7
6/5/2003,6.58
6/6/2003,6.48
6/9/2003,6.51
6/10/2003,6.58
6/11/2003,6.5
6/12/2003,6.48
6/13/2003,6.46
6/16/2003,6.31
6/17/2003,6.14
6/18/2003,6.04
6/19/2003,6.09
6/20/2003,6.07
6/23/2003,6.21
6/24/2003,6.29
6/25/2003,6.15
6/26/2003,6.03
6/27/2003,6.03
6/30/2003,6.13
7/1/2003,6.15
7/2/2003,6.18
7/3/2003,6.11
7/4/2003,6.11
7/7/2003,6.05
7/8/2003,5.97
7/9/2003,5.97
7/10/2003,6
7/11/2003,6.05
7/14/2003,5.94
7/15/2003,5.73
7/16/2003,5.76
7/17/2003,5.75
7/18/2003,5.76
7/21/2003,5.59
7/22/2003,5.66
7/23/2003,5.72
7/24/2003,5.7
7/25/2003,5.73
7/28/2003,5.65
7/29/2003,5.63
7/30/2003,5.83
7/31/2003,5.67
8/1/2003,5.77
8/4/2003,5.84
8/5/2003,5.8
8/6/2003,6.06
8/7/2003,6.15
8/8/2003,6.13
8/11/2003,6.08
8/12/2003,6.13
8/13/2003,5.99
8/14/2003,6.06
8/15/2003,6.07
8/18/2003,6.05
8/19/2003,5.98
8/20/2003,5.81
8/21/2003,5.61
8/22/2003,5.62
8/25/2003,5.53
8/26/2003,5.55
8/27/2003,5.45
8/28/2003,5.5
8/29/2003,5.43
8/31/2003,5.46
9/1/2003,5.46
9/2/2003,5.19
9/3/2003,5.16
9/4/2003,5.25
9/5/2003,5.42
9/8/2003,5.35
9/9/2003,5.34
9/10/2003,5.42
9/11/2003,5.36
9/12/2003,5.42
9/15/2003,5.43
9/16/2003,5.39
9/17/2003,5.41
9/18/2003,5.32
9/19/2003,5.26
9/22/2003,5.28
9/23/2003,5.34
9/24/2003,5.36
9/25/2003,5.37
9/26/2003,5.45
9/29/2003,5.4
9/30/2003,5.51
10/1/2003,5.46
10/2/2003,5.36
10/3/2003,5.18
10/6/2003,5.25
10/7/2003,5.13
10/8/2003,5.1
10/9/2003,5.02
10/10/2003,5.02
10/13/2003,5.01
10/14/2003,4.88
10/15/2003,4.74
10/16/2003,4.62
10/17/2003,4.68
10/20/2003,4.68
10/21/2003,4.68
10/22/2003,4.81
10/23/2003,4.82
10/24/2003,4.89
10/27/2003,4.8
10/28/2003,4.87
10/29/2003,4.77
10/30/2003,4.68
10/31/2003,4.73
11/3/2003,4.65
11/4/2003,4.68
11/5/2003,4.62
11/6/2003,4.56
11/7/2003,4.52
11/10/2003,4.5
11/11/2003,4.5
11/12/2003,4.55
11/13/2003,4.69
11/14/2003,4.74
11/17/2003,4.74
11/18/2003,4.73
11/19/2003,4.65
11/20/2003,4.76
11/21/2003,4.75
11/24/2003,4.67
11/25/2003,4.62
11/26/2003,4.55
11/27/2003,4.55
11/28/2003,4.46
11/30/2003,4.48
12/1/2003,4.37
12/2/2003,4.35
12/3/2003,4.27
12/4/2003,4.26
12/5/2003,4.39
12/8/2003,4.29
12/9/2003,4.19
12/10/2003,4.22
12/11/2003,4.35
12/12/2003,4.34
12/15/2003,4.27
12/16/2003,4.31
12/17/2003,4.34
12/18/2003,4.34
12/19/2003,4.33
12/22/2003,4.28
12/23/2003,4.16
12/24/2003,4.25
12/25/2003,
12/26/2003,4.28
12/29/2003,4.22
12/30/2003,4.17
12/31/2003,4.18
1/1/2004,
1/2/2004,4.08
1/5/2004,3.97
1/6/2004,3.98
1/7/2004,3.92
1/8/2004,3.87
1/9/2004,4.01
1/12/2004,4
1/13/2004,4.05
1/14/2004,4.04
1/15/2004,3.98
1/16/2004,3.94
1/19/2004,3.93
1/20/2004,3.89
1/21/2004,3.88
1/22/2004,3.9
1/23/2004,3.79
1/26/2004,3.76
1/27/2004,3.88
1/28/2004,3.81
1/29/2004,3.92
1/30/2004,4.03
1/31/2004,4.05
2/2/2004,4.06
2/3/2004,4.17
2/4/2004,4.2
2/5/2004,4.22
2/6/2004,4.34
2/9/2004,4.28
2/10/2004,4.24
2/11/2004,4.31
2/12/2004,4.19
2/13/2004,4.25
2/16/2004,4.23
2/17/2004,4.21
2/18/2004,4.23
2/19/2004,4.24
2/20/2004,4.22
2/23/2004,4.3
2/24/2004,4.38
2/25/2004,4.36
2/26/2004,4.32
2/27/2004,4.34
2/29/2004,4.34
3/1/2004,4.29
3/2/2004,4.22
3/3/2004,4.22
3/4/2004,4.24
3/5/2004,4.35
3/8/2004,4.37
3/9/2004,4.4
3/10/2004,4.37
3/11/2004,4.41
3/12/2004,4.39
3/15/2004,4.41
3/16/2004,4.53
3/17/2004,4.5
3/18/2004,4.46
3/19/2004,4.43
3/22/2004,4.52
3/23/2004,4.54
3/24/2004,4.56
3/25/2004,4.53
3/26/2004,4.42
3/29/2004,4.34
3/30/2004,4.33
