timestamp,open,high,low,close,adjusted close,volume,dividend amount
2026-04-24,50.97,50.98,50.93,50.953,50.953,3152928,0.0
2026-04-17,50.92,50.98,50.9,50.94,50.94,6110077,0.0
2026-04-10,50.93,50.99,50.88,50.91,50.91,6817254,0.0
2026-04-02,51.0,51.01,50.8701,50.91,50.91,5399995,0.1028
2026-03-27,50.98,51.0,50.9317,50.96,50.8573,4743196,0.0
2026-03-20,50.99,51.0699,50.96,50.98,50.8773,5109994,0.0
2026-03-13,51.01,51.04,50.98,51.02,50.9172,4279090,0.0
2026-03-06,50.99,51.03,50.95,51.02,50.9172,5377527,0.1157
2026-02-27,51.09,51.13,51.08,51.13,50.9114,3734066,0.0
2026-02-20,51.04,51.11,51.04,51.09,50.8716,5789215,0.0
2026-02-13,51.06,51.13,51.06,51.13,50.9114,3355107,0.0
2026-02-06,51.02,51.07,51.0,51.07,50.8517,5641934,0.097
2026-01-30,51.07,51.13,51.07,51.13,50.8148,5919299,0.0
2026-01-23,51.06,51.09,51.02,51.08,50.7651,5109237,0.0
2026-01-16,51.0,51.12,51.0,51.04,50.7254,30627580,0.0
2026-01-09,50.99,51.04,50.95,51.02,50.7055,7461913,0.0
2026-01-02,51.02,51.04,50.92,50.93,50.6161,3638141,0.1071
2025-12-26,50.99,51.03,50.96,51.02,50.5991,5696334,0.0
2025-12-19,50.92,51.025,50.92,51.01,50.5892,13097834,0.0
2025-12-12,50.89,50.95,50.88,50.92,50.4999,6231723,0.0
2025-12-05,50.85,50.91,50.84,50.89,50.4702,4388738,0.1163
2025-11-28,50.95,50.99,50.95,50.98,50.4441,2031947,0.0
2025-11-21,50.92,51.04,50.89,50.96,50.4243,4613739,0.0
2025-11-14,50.89,50.94,50.88,50.92,50.3847,5530107,0.0
2025-11-07,50.85,50.92,50.835,50.895,50.36,4208737,0.1089
2025-10-31,50.96,51.06,50.87,50.87,50.2277,3821237,0.0
2025-10-24,50.95,50.99,50.9478,50.96,50.3166,2678362,0.0
2025-10-17,50.94,50.98,50.93,50.96,50.3166,6494869,0.0
2025-10-10,50.91,50.955,50.905,50.925,50.282,5931556,0.0
2025-10-03,51.02,51.04,50.89,50.92,50.2771,4870493,0.1212
2025-09-26,51.04,51.06,51.01,51.03,50.266,3547677,0.0
2025-09-19,51.06,51.08,51.03,51.045,50.2808,4067612,0.0
2025-09-12,51.0,51.06,50.99,51.05,50.2857,3709073,0.0
2025-09-05,50.93,51.015,50.91,51.015,50.2512,7164969,0.1192
2025-08-29,50.99,51.06,50.99,51.06,50.1781,4029227,0.0
2025-08-22,50.98,51.04,50.98,51.0,50.1191,3423566,0.0
2025-08-15,50.95,51.0,50.94,50.985,50.1044,2676673,0.0
2025-08-08,50.93,51.02,50.88,50.955,50.0749,3955804,0.0
2025-08-01,50.97,50.99,50.89,50.9,50.0209,2753779,0.1135
2025-07-25,50.92,50.95,50.91,50.95,49.9586,3013900,0.0
2025-07-18,50.89,50.92,50.875,50.915,49.9243,3569488,0.0
2025-07-11,50.88,50.89,50.81,50.89,49.8997,3851561,0.0
2025-07-03,50.91,50.9299,50.7916,50.83,49.8409,2683268,0.1242
2025-06-27,50.84,50.91,50.84,50.91,49.7976,3473836,0.0
2025-06-20,50.81,50.8501,50.8,50.84,49.7292,3106432,0.0
2025-06-13,50.78,50.83,50.77,50.815,49.7047,4648372,0.0
2025-06-06,50.76,50.78,50.71,50.775,49.6656,3443690,0.1216
2025-05-30,50.82,50.86,50.81,50.86,49.6297,2229321,0.0
2025-05-23,50.76,50.82,50.7501,50.79,49.5614,3052177,0.0
2025-05-16,50.74,50.78,50.71,50.76,49.5322,3185587,0.0
2025-05-09,50.71,50.8,50.67,50.74,49.5126,3111843,0.0
2025-05-02,50.72,50.83,50.65,50.67,49.4443,3654511,0.1359
2025-04-25,50.67,50.75,50.58,50.75,49.39,3652278,0.0
2025-04-17,50.54,50.65,50.54,50.63,49.2732,2485803,0.0
2025-04-11,50.79,50.88,50.4201,50.52,49.1661,5642927,0.0
2025-04-04,50.84,50.88,50.72,50.775,49.4143,3260198,0.1295
2025-03-28,50.8,50.98,50.78,50.82,49.3325,2452284,0.0
2025-03-21,50.8,50.9499,50.8,50.83,49.3422,2230633,0.0
2025-03-14,50.8,50.94,50.73,50.81,49.3228,3018709,0.0
2025-03-07,50.77,50.82,50.73,50.81,49.3228,3419941,0.1277
2025-02-28,50.86,50.92,50.85,50.915,49.3009,2290335,0.0
2025-02-21,50.82,50.86,50.8,50.86,49.2476,2183254,0.0
2025-02-14,50.84,50.84,50.78,50.815,49.204,2541057,0.0
2025-02-07,50.8,50.83,50.76,50.81,49.1992,2998189,0.1208
2025-01-31,50.85,50.9,50.8,50.9,49.1694,2417841,0.0
2025-01-24,50.8,50.86,50.79,50.855,49.1259,2251894,0.0
2025-01-17,50.75,50.81,50.72,50.81,49.0824,2708227,0.0
2025-01-10,50.72,50.7678,50.72,50.76,49.0341,2090454,0.0
2025-01-03,50.8,50.83,50.69,50.72,48.9955,2469909,0.1224
2024-12-27,50.78,50.84,50.76,50.78,48.9354,2997378,0.0
2024-12-20,50.825,50.8387,50.73,50.78,48.9354,3338206,0.0
2024-12-13,50.82,50.84,50.7824,50.79,48.945,1595637,0.0
2024-12-06,50.78,50.9299,50.69,50.82,48.9739,2650639,0.1363
2024-11-29,50.91,50.91,50.84,50.9,48.9197,1748323,0.0
2024-11-22,50.81,50.845,50.79,50.84,48.8621,2012159,0.0
2024-11-15,50.72,50.8497,50.72,50.82,48.8428,1931876,0.0
2024-11-08,50.71,50.78,50.61,50.77,48.7948,1956738,0.0
2024-11-01,50.81,50.88,50.68,50.68,48.7083,2753827,0.1351
2024-10-25,50.81,50.855,50.75,50.81,48.7034,1899433,0.0
2024-10-18,50.8,50.83,50.7931,50.82,48.713,1701566,0.0
2024-10-11,50.77,50.83,50.77,50.81,48.7034,2158126,0.0
2024-10-04,50.96,50.97,50.78,50.81,48.7034,2412764,0.1415
2024-09-27,50.94,50.96,50.89,50.95,48.702,1773867,0.0
2024-09-20,50.87,50.93,50.86,50.92,48.6733,2832795,0.0
2024-09-13,50.89,50.89,50.67,50.86,48.616,2716973,0.0
