timestamp,open,high,low,close,adjusted close,volume,dividend amount
2026-04-02,11.06,11.44,10.935,11.34,11.34,4331559,0.0
2026-03-27,11.27,11.3,10.76,11.02,11.02,7255766,0.0
2026-03-20,11.6,11.65,11.235,11.25,11.25,4153068,0.0
2026-03-13,11.68,11.765,11.53,11.58,11.58,4208405,0.068
2026-03-06,11.85,11.9,11.6,11.71,11.6416,4241352,0.0
2026-02-27,11.79,11.86,11.75,11.85,11.7808,3603127,0.0
2026-02-20,11.76,11.81,11.72,11.77,11.7013,2490403,0.0
2026-02-13,11.77,11.82,11.67,11.75,11.6814,4590525,0.068
2026-02-06,11.69,11.76,11.605,11.75,11.6142,5207821,0.0
2026-01-30,11.59,11.68,11.48,11.67,11.5351,4295709,0.0
2026-01-23,11.66,11.69,11.53,11.56,11.4264,3495246,0.0
2026-01-16,11.7,11.83,11.68,11.72,11.5845,3755599,0.068
2026-01-09,11.63,11.77,11.61,11.73,11.5278,4228359,0.0
2026-01-02,11.55,11.75,11.5101,11.65,11.4491,5008031,0.0
2025-12-26,11.59,11.61,11.464,11.55,11.3509,3956236,0.0
2025-12-19,11.55,11.63,11.4545,11.56,11.3607,4798976,0.068
2025-12-12,11.67,11.68,11.52,11.59,11.3234,5589865,0.0
2025-12-05,11.5,11.7,11.4445,11.67,11.4016,5524569,0.0
2025-11-28,11.48,11.58,11.33,11.58,11.3136,3936365,0.0
2025-11-21,11.53,11.55,11.38,11.48,11.2159,3541430,0.0
2025-11-14,11.54,11.72,11.4601,11.53,11.2648,4644037,0.068
2025-11-07,11.66,11.705,11.45,11.48,11.1502,5277924,0.0
2025-10-31,11.5,11.65,11.34,11.65,11.3153,4205994,0.0
2025-10-24,11.35,11.4965,11.28,11.49,11.1599,4154817,0.0
2025-10-17,11.4,11.47,11.3,11.35,11.0239,3870819,0.068
2025-10-10,11.25,11.44,11.21,11.36,10.9685,3977520,0.0
2025-10-03,11.34,11.5,11.25,11.25,10.8623,4246321,0.0
2025-09-26,11.28,11.41,11.23,11.31,10.9203,4052883,0.0
2025-09-19,11.36,11.41,11.205,11.27,10.8816,5027647,0.068
2025-09-12,11.17,11.46,11.17,11.38,10.9223,5181570,0.0
2025-09-05,10.97,11.11,10.92,11.11,10.6632,4996114,0.0
2025-08-29,10.92,11.0,10.8849,11.0,10.5576,4193770,0.0
2025-08-22,10.83,10.92,10.77,10.9,10.4616,4289062,0.0
2025-08-15,10.94,11.03,10.83,10.83,10.3945,5741519,0.073
2025-08-08,10.86,10.97,10.81,10.9,10.3916,4246033,0.0
2025-08-01,10.74,10.86,10.68,10.85,10.3439,5269129,0.0
2025-07-25,10.72,10.745,10.6,10.73,10.2295,4716663,0.0
2025-07-18,10.99,11.0,10.68,10.69,10.1914,5516476,0.073
2025-07-11,11.0,11.02,10.92,11.01,10.4266,4354786,0.0
2025-07-03,10.89,11.04,10.87,11.01,10.4266,3851212,0.0
2025-06-27,10.79,10.89,10.76,10.84,10.2656,4759735,0.0
2025-06-20,10.85,10.87,10.6,10.8,10.2277,3715665,0.0
2025-06-13,10.81,10.97,10.79,10.82,10.2466,5194322,0.073
2025-06-06,10.86,10.86,10.78,10.81,10.1686,4285906,0.0
2025-05-30,10.82,10.87,10.7763,10.86,10.2156,3414850,0.0
2025-05-23,10.84,10.9099,10.66,10.75,10.1121,5519209,0.0
2025-05-16,11.06,11.06,10.85,10.93,10.2815,6332338,0.073
2025-05-09,10.92,11.08,10.88,11.01,10.2881,6162299,0.0
2025-05-02,10.81,10.98,10.78,10.93,10.2133,5226972,0.0
2025-04-25,10.64,10.81,10.53,10.8,10.0918,5285188,0.0
2025-04-17,10.66,10.76,10.615,10.7,9.9984,4266316,0.073
2025-04-11,10.94,10.95,10.0,10.61,9.8469,15935861,0.0
2025-04-04,11.17,11.26,11.0,11.03,10.2366,5852757,0.0
2025-03-28,11.31,11.335,11.12,11.14,10.3387,4249110,0.0
2025-03-21,11.25,11.34,11.12,11.31,10.4965,4747720,0.0
2025-03-14,11.45,11.48,11.25,11.26,10.4501,4103099,0.073
2025-03-07,11.63,11.63,11.43,11.46,10.5672,4525078,0.0
2025-02-28,11.55,11.6377,11.52,11.6,10.6963,3887137,0.0
2025-02-21,11.55,11.5881,11.5,11.53,10.6318,3422550,0.0
2025-02-14,11.59,11.63,11.45,11.56,10.6594,4992454,0.073
2025-02-07,11.43,11.58,11.39,11.56,10.5925,4229638,0.0
2025-01-31,11.24,11.43,11.21,11.42,10.4642,4298322,0.0
2025-01-24,11.38,11.38,11.18,11.21,10.2718,3946076,0.0
2025-01-17,11.26,11.31,11.15,11.25,10.3085,5299889,0.073
2025-01-10,11.45,11.455,11.15,11.26,10.2508,4117451,0.0
2025-01-03,11.12,11.48,11.07,11.45,10.4238,6609516,0.0
2024-12-27,11.18,11.26,11.0,11.12,10.1234,6610991,0.0
2024-12-20,11.58,11.6,11.15,11.18,10.178,8218540,0.0
2024-12-13,11.9,11.92,11.54,11.57,10.533,5996770,0.073
2024-12-06,11.92,11.93,11.795,11.9,10.7655,5126117,0.0
2024-11-29,11.68,11.89,11.63,11.89,10.7565,3409715,0.0
2024-11-22,11.53,11.67,11.51,11.62,10.5122,3391024,0.0
2024-11-15,11.58,11.61,11.43,11.53,10.4308,4297407,0.073
2024-11-08,11.52,11.57,11.29,11.54,10.3742,7068748,0.0
2024-11-01,11.6,11.6675,11.41,11.43,10.2753,6866835,0.0
2024-10-25,11.86,11.8699,11.5,11.59,10.4191,5697477,0.0
2024-10-18,11.92,11.92,11.81,11.89,10.6888,4378012,0.073
2024-10-11,11.97,11.97,11.82,11.92,10.6501,4979463,0.0
2024-10-04,11.95,12.06,11.925,11.97,10.6947,6269011,0.0
2024-09-27,11.85,11.96,11.84,11.95,10.6769,3638147,0.0
2024-09-20,11.86,11.87,11.81,11.85,10.5875,5836482,0.0
2024-09-13,11.72,11.84,11.7,11.83,10.5697,6000997,0.073
2024-09-06,11.61,11.71,11.56,11.7,10.3894,4913318,0.0
2024-08-30,11.65,11.65,11.55,11.6,10.3006,4704871,0.0
2024-08-23,11.62,11.65,11.57,11.62,10.3184,4650574,0.0
2024-08-16,11.66,11.7299,11.575,11.6,10.3006,4976139,0.073
2024-08-09,11.72,11.735,11.5,11.68,10.3068,6551807,0.0
2024-08-02,11.53,11.765,11.47,11.76,10.3774,6584302,0.0
2024-07-26,11.36,11.49,11.36,11.49,10.1391,3438458,0.0
2024-07-19,11.54,11.55,11.28,11.31,9.9803,5665163,0.073
2024-07-12,11.4,11.635,11.37,11.61,10.1803,5116283,0.0
2024-07-05,11.44,11.47,11.35,11.41,10.0049,3367906,0.0
2024-06-28,11.37,11.527,11.37,11.46,10.0487,5202682,0.0
2024-06-21,11.36,11.46,11.32,11.37,9.9698,3385825,0.0
2024-06-14,11.16,11.42,11.14,11.4,9.9961,4136201,0.073
2024-06-07,10.94,11.19,10.88,11.16,9.7234,4770602,0.0
2024-05-31,10.92,10.92,10.715,10.87,9.4707,2543337,0.0
2024-05-24,10.98,10.99,10.78,10.88,9.4795,2565395,0.0
2024-05-17,10.85,11.02,10.81,10.98,9.5666,4821128,0.0505
2024-05-10,10.79,10.92,10.76,10.83,9.3922,4462762,0.0
2024-05-03,10.65,10.775,10.6,10.74,9.3142,4493986,0.0
2024-04-26,10.66,10.71,10.53,10.63,9.2188,2994159,0.0
2024-04-19,10.65,10.74,10.57,10.66,9.2448,3885747,0.0
2024-04-12,10.87,10.93,10.68,10.72,9.2968,2846017,0.0505
2024-04-05,11.04,11.04,10.82,10.86,9.3741,3920209,0.0
2024-03-28,11.06,11.08,10.99,11.07,9.5553,2353857,0.0
2024-03-22,11.0,11.1,10.95,11.06,9.5467,2971915,0.0
2024-03-15,11.1,11.165,10.89,10.97,9.469,3087749,0.0505
2024-03-08,11.01,11.185,10.93,11.08,9.52,4602641,0.0
2024-03-01,11.0,11.01,10.81,11.01,9.4599,2833696,0.0
2024-02-23,11.01,11.07,10.98,10.98,9.4341,2226941,0.0
2024-02-16,10.98,11.0799,10.855,11.01,9.4599,4112512,0.0425
2024-02-09,10.98,11.12,10.9,10.95,9.372,3614105,0.0
2024-02-02,10.75,11.16,10.75,11.07,9.4747,3872751,0.0
2024-01-26,10.81,10.9,10.62,10.73,9.1837,3464294,0.0
2024-01-19,11.0,11.048,10.605,10.74,9.1922,4386362,0.0
2024-01-12,11.05,11.12,10.92,11.04,9.449,4128719,0.0425
2024-01-05,10.96,11.09,10.93,11.01,9.387,2497134,0.0
2023-12-29,10.93,11.02,10.87,11.0,9.3785,7208395,0.0
2023-12-22,11.04,11.125,10.93,10.93,9.3188,8205900,0.0
2023-12-15,10.77,11.08,10.71,11.03,9.4041,6578982,0.0425
2023-12-08,10.67,10.87,10.67,10.79,9.1641,4776883,0.0
2023-12-01,10.51,10.779,10.44,10.72,9.1047,5318672,0.0
2023-11-24,10.37,10.54,10.35,10.51,8.9263,4464548,0.0
2023-11-17,10.1,10.519,10.085,10.41,8.8414,4235611,0.0425
2023-11-10,10.0,10.225,9.95,10.14,8.5767,5348539,0.0
2023-11-03,9.35,10.12,9.35,10.07,8.5175,5880598,0.0
2023-10-27,9.28,9.4099,9.2,9.35,7.9085,6025303,0.0
2023-10-20,9.72,9.72,9.3,9.31,7.8747,4940266,0.0
2023-10-13,9.6,9.86,9.59,9.72,8.2215,4162023,0.035
2023-10-06,9.68,9.69,9.48,9.58,8.0739,5894638,0.0
2023-09-29,9.98,10.0,9.57,9.68,8.1581,9035682,0.0
2023-09-22,10.13,10.18,9.985,10.04,8.4615,6940364,0.0
2023-09-15,10.23,10.26,10.08,10.14,8.5458,4727396,0.035
2023-09-08,10.41,10.43,10.22,10.22,8.5837,3955954,0.0
2023-09-01,10.4,10.47,10.35,10.45,8.7768,4012203,0.0
2023-08-25,10.36,10.45,10.33,10.35,8.6928,2898343,0.0
2023-08-18,10.57,10.6047,10.42,10.43,8.76,3286080,0.035
2023-08-11,10.6,10.7,10.56,10.62,8.8902,2980810,0.0
2023-08-04,10.91,10.95,10.57,10.62,8.8902,4235590,0.0
2023-07-28,10.98,11.005,10.82,10.91,9.133,3434974,0.0
