timestamp,open,high,low,close,adjusted close,volume,dividend amount
2026-07-10,23.35,23.39,23.28,23.33,23.33,18437781,0.0
2026-07-02,23.43,23.47,23.275,23.34,23.34,17926493,0.1382
2026-06-26,23.4,23.44,23.38,23.41,23.272,19133762,0.0
2026-06-18,23.47,23.48,23.35,23.44,23.3019,12934903,0.0
2026-06-12,23.31,23.4299,23.2601,23.41,23.272,20815340,0.0
2026-06-05,23.37,23.4,23.24,23.27,23.1329,23036759,0.1375
2026-05-29,23.47,23.54,23.44,23.53,23.2545,22045946,0.0
2026-05-22,23.32,23.44,23.2,23.41,23.1359,22178969,0.0
2026-05-15,23.45,23.4699,23.28,23.29,23.0173,19786837,0.0
2026-05-08,23.43,23.49,23.3398,23.47,23.1952,27860153,0.0
2026-05-01,23.58,23.6,23.434,23.45,23.1754,24337128,0.1366
2026-04-24,23.61,23.62,23.485,23.57,23.1592,19569181,0.0
2026-04-17,23.4,23.64,23.39,23.62,23.2083,31563778,0.0
2026-04-10,23.28,23.55,23.22,23.42,23.0118,46388871,0.0
2026-04-02,23.15,23.33,23.08,23.29,22.884,34488653,0.1384
2026-03-27,23.24,23.35,23.02,23.06,22.524,41050337,0.0
2026-03-20,23.28,23.39,23.1,23.12,22.5826,29376852,0.0
2026-03-13,23.3,23.53,23.18,23.21,22.6705,31661389,0.0
2026-03-06,23.46,23.57,23.335,23.36,22.817,35494943,0.1396
2026-02-27,23.76,23.78,23.67,23.7,23.0126,24343869,0.0
2026-02-20,23.73,23.78,23.7,23.77,23.0805,16752221,0.0
2026-02-13,23.71,23.78,23.69,23.74,23.0514,27400518,0.0
2026-02-06,23.67,23.72,23.61,23.71,23.0223,33796630,0.1379
2026-01-30,23.84,23.85,23.77,23.82,22.9953,33182629,0.0
2026-01-23,23.73,23.86,23.72,23.82,22.9953,19381008,0.0
2026-01-16,23.76,23.83,23.75,23.81,22.9856,45557380,0.0
2026-01-09,23.7,23.8,23.6901,23.79,22.9663,30623709,0.0
2026-01-02,23.66,23.71,23.65,23.69,22.8698,14760128,0.0
2025-12-26,23.61,23.69,23.57,23.67,22.8505,12002718,0.0
2025-12-19,23.7,23.72,23.56,23.59,22.7732,28091999,0.1407
2025-12-12,23.73,23.75,23.63,23.68,22.7247,23113996,0.0
2025-12-05,23.68,23.74,23.61,23.73,22.7727,20580731,0.1397
2025-11-28,23.66,23.85,23.64,23.82,22.7248,19856711,0.0
2025-11-21,23.59,23.67,23.52,23.63,22.5436,28033618,0.0
2025-11-14,23.66,23.75,23.55,23.59,22.5054,22187838,0.0
2025-11-07,23.66,23.68,23.53,23.63,22.5436,23932704,0.1426
2025-10-31,23.9,23.949,23.78,23.8,22.5693,22929105,0.0
2025-10-24,23.78,23.87,23.73,23.87,22.6357,24408032,0.0
2025-10-17,23.61,23.8,23.57,23.78,22.5504,22806552,0.0
2025-10-10,23.82,23.83,23.54,23.54,22.3228,22385936,0.0
2025-10-03,23.95,23.9691,23.79,23.81,22.5788,22479661,0.1441
2025-09-26,23.93,23.99,23.86,23.92,22.5469,19004258,0.0
2025-09-19,23.89,23.97,23.8401,23.96,22.5846,12610826,0.0
2025-09-12,23.83,23.89,23.7546,23.87,22.4998,21516341,0.0
2025-09-05,23.65,23.88,23.61,23.81,22.4432,20820396,0.1455
2025-08-29,23.81,23.88,23.78,23.84,22.3341,16475035,0.0
2025-08-22,23.7,23.82,23.62,23.81,22.306,23697646,0.0
2025-08-15,23.66,23.755,23.63,23.69,22.1936,23689267,0.0
2025-08-08,23.59,23.68,23.59,23.64,22.1468,16941438,0.0
2025-08-01,23.75,23.75,23.52,23.55,22.0625,20108764,0.1468
2025-07-25,23.69,23.76,23.68,23.74,22.1027,14707519,0.0
2025-07-18,23.58,23.67,23.5,23.67,22.0375,24488345,0.0
2025-07-11,23.71,23.71,23.565,23.59,21.963,18342633,0.0
2025-07-03,23.76,23.8,23.6046,23.69,22.0561,23196704,0.1464
2025-06-27,23.55,23.75,23.545,23.72,21.948,18122837,0.0
2025-06-20,23.47,23.57,23.43,23.56,21.8,12642837,0.0
2025-06-13,23.41,23.516,23.4,23.43,21.6797,16765427,0.0
2025-06-06,23.34,23.46,23.29,23.39,21.6427,14649403,0.1458
2025-05-30,23.43,23.56,23.3846,23.5,21.6095,21929343,0.0
2025-05-23,23.35,23.45,23.25,23.32,21.444,22134164,0.0
2025-05-16,23.39,23.4852,23.33,23.45,21.5635,31062761,0.0
2025-05-09,23.16,23.24,23.11,23.18,21.3153,24447230,0.0
2025-05-02,23.31,23.38,23.09,23.18,21.3153,26743565,0.1465
2025-04-25,22.95,23.34,22.8001,23.31,21.2998,18458268,0.0
2025-04-17,22.9,23.0,22.75,22.99,21.0074,22697254,0.0
2025-04-11,22.32,23.025,22.21,22.69,20.7333,57825784,0.0
2025-04-04,23.35,23.43,22.545,22.67,20.715,60896475,0.1477
2025-03-28,23.59,23.635,23.3549,23.41,21.2566,30866207,0.0
2025-03-21,23.44,23.63,23.42,23.51,21.3474,25565470,0.0
2025-03-14,23.58,23.59,23.3,23.43,21.2747,76081646,0.0
2025-03-07,23.71,23.79,23.54,23.61,21.4382,33634239,0.1476
2025-02-28,23.79,23.87,23.72,23.84,21.5128,34057384,0.0
2025-02-21,23.75,23.79,23.69,23.74,21.4225,14807878,0.0
2025-02-14,23.7,23.79,23.5862,23.75,21.4316,18118906,0.0
2025-02-07,23.55,23.76,23.55,23.65,21.3413,19327783,0.1527
2025-01-31,23.77,23.87,23.75,23.78,21.3207,12365517,0.0
2025-01-24,23.76,23.82,23.7002,23.8,21.3387,14861488,0.0
2025-01-17,23.39,23.725,23.38,23.72,21.2669,38568072,0.0
2025-01-10,23.6,23.64,23.42,23.43,21.0069,19400311,0.0
2025-01-03,23.43,23.59,23.42,23.57,21.1325,10736454,0.0
2024-12-27,23.47,23.52,23.38,23.45,21.0249,5968751,0.0
2024-12-20,23.76,23.775,23.28,23.43,21.0069,30302707,0.1447
2024-12-13,23.88,23.88,23.7,23.71,21.1267,29267914,0.0
2024-12-06,23.78,23.9,23.74,23.83,21.2337,22088274,0.1479
2024-11-29,23.86,23.94,23.78,23.93,21.1911,14736247,0.0
2024-11-22,23.73,23.81,23.68,23.77,21.0494,22397853,0.0
2024-11-15,23.87,23.87,23.64,23.71,20.9962,18935021,0.0
2024-11-08,23.63,23.86,23.57,23.86,21.1291,24087231,0.0
2024-11-01,23.74,23.82,23.52,23.52,20.828,29617396,0.154
2024-10-25,23.85,23.85,23.65,23.7,20.8509,22676365,0.0
2024-10-18,23.8,23.9,23.75,23.86,20.9916,24460221,0.0
2024-10-11,23.82,23.82,23.7,23.79,20.93,15729459,0.0
2024-10-04,24.05,24.06,23.79,23.82,20.9564,28832801,0.1504
2024-09-27,24.01,24.07,23.95,24.07,21.0438,62085630,0.0
2024-09-20,23.88,24.06,23.8305,24.01,20.9914,13352547,0.0
2024-09-13,23.71,23.86,23.655,23.83,20.834,14039240,0.0
2024-09-06,23.64,23.78,23.55,23.7,20.7204,19137280,0.1552
2024-08-30,23.88,23.91,23.74,23.8,20.6717,15630377,0.0
2024-08-23,23.64,23.82,23.62,23.81,20.6804,19897498,0.0
2024-08-16,23.43,23.65,23.3703,23.64,20.5327,17748761,0.0
2024-08-09,23.17,23.44,23.01,23.39,20.3156,24277504,0.0
2024-08-02,23.58,23.6,23.3,23.33,20.2635,14600274,0.1521
2024-07-26,23.52,23.5599,23.44,23.52,20.2965,16510586,0.0
2024-07-19,23.45,23.54,23.39,23.44,20.2275,12886636,0.0
2024-07-12,23.26,23.6,23.21,23.43,20.2189,7795440,0.0
2024-07-05,23.11,23.27,23.04,23.27,20.0808,11735355,0.1526
2024-06-28,23.29,23.34,23.22,23.23,19.9144,36563745,0.0
2024-06-21,23.17,23.3,23.14,23.29,19.9658,6391895,0.0
2024-06-14,23.12,23.36,23.1,23.19,19.8801,6691494,0.0
2024-06-07,23.21,23.24,23.11,23.13,19.8287,11931980,0.1498
2024-05-31,23.29,23.29,23.07,23.26,19.8119,6563301,0.0
2024-05-24,23.28,23.32,23.15,23.24,19.7949,11851834,0.0
2024-05-17,23.23,23.33,23.15,23.28,19.829,7417085,0.0
2024-05-10,23.23,23.28,23.14,23.17,19.7353,28714966,0.0
2024-05-03,23.14,23.2799,22.88,23.21,19.7693,16215114,0.1535
2024-04-26,23.02,23.155,22.91,23.11,19.5536,8003854,0.0
2024-04-19,23.05,23.0699,22.82,22.94,19.4098,31135380,0.0
2024-04-12,23.18,23.28,23.0,23.05,19.5029,23714099,0.0
2024-04-05,23.34,23.34,23.14,23.16,19.596,12708534,0.1537
2024-03-28,23.43,23.53,23.39,23.46,19.7193,9049899,0.0
2024-03-22,23.35,23.53,23.29,23.47,19.7277,7593212,0.0
2024-03-15,23.33,23.425,23.23,23.28,19.568,13229560,0.0
2024-03-08,23.29,23.45,23.24,23.35,19.6268,14217317,0.0
2024-03-01,23.39,23.39,23.18,23.29,19.5764,11444143,0.156
2024-02-23,23.25,23.39,23.2129,23.37,19.513,13574013,0.0
2024-02-16,23.39,23.39,23.08,23.29,19.4462,22728881,0.0
2024-02-09,23.26,23.37,23.15,23.36,19.5046,12566359,0.0
2024-02-02,23.49,23.57,23.2601,23.29,19.4462,16008434,0.1603
2024-01-26,23.37,23.51,23.3,23.46,19.4549,7260165,0.0
2024-01-19,23.42,23.43,23.2,23.32,19.3388,4639839,0.0
2024-01-12,23.2,23.515,23.1819,23.48,19.4715,11385354,0.0
2024-01-05,23.29,23.33,23.1324,23.16,19.2061,6004457,0.0
2023-12-29,23.41,23.57,23.36,23.38,19.3885,4312311,0.0
2023-12-22,23.31,23.4888,23.17,23.41,19.4134,8888574,0.156
2023-12-15,22.93,23.49,22.87,23.38,19.2592,7309535,0.0
2023-12-08,22.88,22.9999,22.844,22.92,18.8803,5888364,0.0
2023-12-01,22.74,23.0199,22.715,22.94,18.8968,10869703,0.1533
2023-11-24,22.65,22.76,22.63,22.73,18.5995,4245113,0.0
2023-11-17,22.4,22.69,22.3706,22.63,18.5177,13315038,0.0
2023-11-10,22.56,22.57,22.33,22.45,18.3704,9867898,0.0
2023-11-03,22.0,22.59,21.95,22.57,18.4686,7454540,0.1487
2023-10-27,21.83,22.08,21.8001,21.99,17.8737,5412198,0.0
2023-10-20,22.12,22.1469,21.835,21.88,17.7843,9935225,0.0
